Part,Value,Device,Package,Description,BUTTON_ACTION,BUTTON_POWER,BUTTON_X,BUTTON_Y,CONNECTION_STATUS,COPYRIGHT,DATASHEET-URL,DESCRIPTION,DIGI-KEY_PART_NUMBER_1,DIGI-KEY_PART_NUMBER_2,DIGI-KEY_PART_NUMBER_3,ELECTRO_INDEX,ELECTRO_MIDDLE,ELECTRO_PINKY,ELECTRO_RING,ELECTRO_THUMB,FLEX_INDEX,FLEX_MIDDLE,FLEX_PINKY,FLEX_RING,FLEX_THUMB,GENDER,HEIGHT,IR,MANUFACTURER,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MAXIMUM_PACKAGE_HEIGHT,MFR_NAME,MIC2876,MOUNT,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,PACKAGING,PART-NUMBER,PARTREV,PINS,PITCH,POWER_STATUS,REFDES,ROWS,STANDARD,TYPE,VALUE,VIBRATOR_INDEX,VIBRATOR_MIDDLE,VIBRATOR_PINKY,VIBRATOR_RING,VIBRATOR_THUMB
J17,BTN_X,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,61300211121,,"Wurth Electronics",,,,,,,,,,,,,,,,,,,,
J18,BTN_Y,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,61300211121,,"Wurth Electronics",,,,,,,,,,,,,,,,,,,,
J19,BTN_PWR,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,61300211121,,"Wurth Electronics",,,,,,,,,,,,,,,,,,,,
J20,BTN_ACTN,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,61300211121,,"Wurth Electronics",,,,,,,,,,,,,,,,,,,,
J21,CONNECTION_STATUS,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,61300211121,,"Wurth Electronics",,,,,,,,,,,,,,,,,,,,
J22,POWER_STATUS,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,61300211121,,"Wurth Electronics",,,,,,,,,,,,,,,,,,,,
J23,USBC,6130XX11121_61300411121,61300411121,"WR-PHD 2.54 mm THT Pin Header",,,,,,,https://www.we-online.com/redexpert/spec/61300411121?ae,,,,,,,,,,,,,,,"Pin Header",,3A,,,,,,,THT,,,Bag," 61300411121 ",," 4 ",2.54mm,,,Single,,Straight," 61300411121 ",,,,,
J26,BTR_IN,6130XX11121_61300311121,61300311121,"WR-PHD 2.54 mm THT Pin Header",,,,,,,https://www.we-online.com/redexpert/spec/61300311121?ae,,,,,,,,,,,,,,,"Pin Header",,3A,,,,,,,THT,,,Bag," 61300311121 ",," 3 ",2.54mm,,,Single,,Straight," 61300311121 ",,,,,
J27,BTR_OUT,6130XX11121_61300311121,61300311121,"WR-PHD 2.54 mm THT Pin Header",,,,,,,https://www.we-online.com/redexpert/spec/61300311121?ae,,,,,,,,,,,,,,,"Pin Header",,3A,,,,,,,THT,,,Bag," 61300311121 ",," 3 ",2.54mm,,,Single,,Straight," 61300311121 ",,,,,
L7,1uH,SRP4020TA-1R0MIND_SRP4020TA-1R0M_BRN-L,IND_SRP4020TA-1R0M_BRN-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,SRP4020TA-1R0M,,"Bourns Electronics",,,,,,,,,,,,,,"Fixed Inductors",,,,,,
L8,2.2uH,NR6028T2R2NIND_TAIYO_NR6028_TAY,IND_TAIYO_NR6028_TAY,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,NR6028T2R2N,,"Taiyo Yuden",,,,,,,,,,,,,,,,,,,,
L9,1.5uH,SPM6530T-1R5M100,IND_SPM6530T-1R5M100,,,,,,,,,,,,,,,,,,,,,,,,,,TDK,,,"3.0 mm",,,,,,,,N/A,,,,,,"Manufacturer Recommendations",,,,,,,
LED1,EL_P_LED,150060SS75000LED_WL-SMCW-SMT_0603_WRE-L,LED_WL-SMCW-SMT_0603_WRE-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,150060SS75000,,"Wurth Electronics",,,,,,,,,,,,,,"LED Indication",,,,,,
LED2,EL_R_LED,150060SS75000LED_WL-SMCW-SMT_0603_WRE-L,LED_WL-SMCW-SMT_0603_WRE-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,150060SS75000,,"Wurth Electronics",,,,,,,,,,,,,,"LED Indication",,,,,,
LED3,EL_M_LED,150060SS75000LED_WL-SMCW-SMT_0603_WRE-L,LED_WL-SMCW-SMT_0603_WRE-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,150060SS75000,,"Wurth Electronics",,,,,,,,,,,,,,"LED Indication",,,,,,
LED4,EL_I_LED,150060SS75000LED_WL-SMCW-SMT_0603_WRE-L,LED_WL-SMCW-SMT_0603_WRE-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,150060SS75000,,"Wurth Electronics",,,,,,,,,,,,,,"LED Indication",,,,,,
LED5,EL_T_LED,150060SS75000LED_WL-SMCW-SMT_0603_WRE-L,LED_WL-SMCW-SMT_0603_WRE-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,150060SS75000,,"Wurth Electronics",,,,,,,,,,,,,,"LED Indication",,,,,,
LED6,VM_P_LED,150060SS75000LED_WL-SMCW-SMT_0603_WRE-L,LED_WL-SMCW-SMT_0603_WRE-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,150060SS75000,,"Wurth Electronics",,,,,,,,,,,,,,"LED Indication",,,,,,
LED7,VM_R_LED,150060SS75000LED_WL-SMCW-SMT_0603_WRE-L,LED_WL-SMCW-SMT_0603_WRE-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,150060SS75000,,"Wurth Electronics",,,,,,,,,,,,,,"LED Indication",,,,,,
LED8,VM_M_LED,150060SS75000LED_WL-SMCW-SMT_0603_WRE-L,LED_WL-SMCW-SMT_0603_WRE-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,150060SS75000,,"Wurth Electronics",,,,,,,,,,,,,,"LED Indication",,,,,,
LED9,VM_I_LED,150060SS75000LED_WL-SMCW-SMT_0603_WRE-L,LED_WL-SMCW-SMT_0603_WRE-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,150060SS75000,,"Wurth Electronics",,,,,,,,,,,,,,"LED Indication",,,,,,
LED10,VM_T_LED,150060SS75000LED_WL-SMCW-SMT_0603_WRE-L,LED_WL-SMCW-SMT_0603_WRE-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,150060SS75000,,"Wurth Electronics",,,,,,,,,,,,,,"LED Indication",,,,,,
LED15,CHR_LED,150060SS75000LED_WL-SMCW-SMT_0603_WRE-L,LED_WL-SMCW-SMT_0603_WRE-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,150060SS75000,,"Wurth Electronics",,,,,,,,,,,,,,"LED Indication",,,,,,
MOSFET1,EL_P_MF,DMN3404L-7SOT23_DIO-L,SOT23_DIO-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,DMN3404L-7,,"Diodes Inc",,,,,,,,,,,,,,,,,,,,
MOSFET2,EL_I_MS,DMN3404L-7SOT23_DIO-L,SOT23_DIO-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,DMN3404L-7,,"Diodes Inc",,,,,,,,,,,,,,,,,,,,
